Species,Common name,lng,lat,Date,Method,Coupe Number,Coupe Name
Persoonia arborea,Tree Geebung,145.93338333,-37.80068333,21/1/18,active,462-506-0019,Brugha
Persoonia arborea,Tree Geebung,145.93335000,-37.80060000,21/1/18,active,462-506-0019,Brugha
Persoonia arborea,Tree Geebung,145.93336667,-37.80050000,21/1/18,active,462-506-0019,Brugha
Persoonia arborea,Tree Geebung,145.93205000,-37.79883333,21/1/18,active,462-506-0019,Brugha
Persoonia arborea,Tree Geebung,145.79186667,-37.81618333,17/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.79138333,-37.81668333,17/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.79156667,-37.81661667,17/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.79135000,-37.81675000,17/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.79065000,-37.81620000,17/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78898333,-37.81616667,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78863333,-37.81628333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78853333,-37.81638333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78781667,-37.81615000,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78681667,-37.81668333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78653333,-37.81643333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78638333,-37.81633333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78611667,-37.81648333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78563333,-37.81693333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,145.78558333,-37.81638333,18/9/19,active,345-505-0009,Blacksands Road
Persoonia arborea,Tree Geebung,146.03903333,-37.80431667,16/11/17,active,462-502-0001,Big Ted
Persoonia arborea,Tree Geebung,145.62603333,-37.55600000,19/9/17,active,307-505-001,Drum Circle
Persoonia arborea,Tree Geebung,145.85326667,-37.81760000,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85320000,-37.81758333,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85251667,-37.81758333,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85195000,-37.81811667,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85130000,-37.81843333,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85040000,-37.81783333,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85061667,-37.81726667,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85080000,-37.81711667,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85068333,-37.81675000,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85075000,-37.81635000,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85123333,-37.81650000,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,145.85355000,-37.81651667,22/8/17,active,348-508-0001,Ducky
Persoonia arborea,Tree Geebung,146.15028333,-37.82036667,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15308333,-37.81970000,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15313333,-37.81960000,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15320000,-37.81960000,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,145.98865000,-37.78633333,17/11/17,active,462-504-0009,Epiphanie
Persoonia arborea,Tree Geebung,145.98665000,-37.78435000,17/11/17,active,462-504-0009,Epiphanie
Persoonia arborea,Tree Geebung,145.62501667,-37.55928333,14/9/17,active,307-505-0009,Flute
Persoonia arborea,Tree Geebung,145.62660000,-37.56125000,14/9/17,active,307-505-0009,Flute
Persoonia arborea,Tree Geebung,145.62528333,-37.56181667,14/9/17,active,307-505-0009,Flute
Persoonia arborea,Tree Geebung,145.62631667,-37.55971667,14/9/17,active,307-505-0009,Flute
Persoonia arborea,Tree Geebung,145.58021667,-37.53941667,12/10/17,active,307-503-0003,Flow Zone
Persoonia arborea,Tree Geebung,145.88540000,-37.82235000,13/8/17,active,348-504-0004,Gallipoli
Persoonia arborea,Tree Geebung,145.88486667,-37.82310000,13/8/17,active,348-504-0004,Gallipoli
Persoonia arborea,Tree Geebung,145.80071667,-37.81318333,N/A,active,345-504-0005,Starlings Gap
Persoonia arborea,Tree Geebung,145.70125000,-37.88768333,1/6/17,active,347-520-0008,Jumping Jack Flash
Persoonia arborea,Tree Geebung,145.62255000,-37.54975000,14/9/17,active,307-505-0011,Guitar Solo
Persoonia arborea,Tree Geebung,145.62291667,-37.54913333,14/9/17,active,307-505-0011,Guitar Solo
Persoonia arborea,Tree Geebung,145.78528333,-37.81621667,15/8/17,active,345-505-0006,Hairy Hyde
Persoonia arborea,Tree Geebung,145.62426667,-37.55886667,19/8/17,active,307-505-0009,Flute
Persoonia arborea,Tree Geebung,145.62455000,-37.55915000,19/8/17,active,307-505-0009,Flute
Persoonia arborea,Tree Geebung,146.14945000,-37.81060000,20/10/17,active,461-505-0001,Dyers Winchline
Persoonia arborea,Tree Geebung,145.48343333,-37.50431667,4/5/17,active,297-511-0002,Junior
Persoonia arborea,Tree Geebung,145.70106667,-37.88768333,1/6/17,active,347-520-0008,Jumping Jack Flash
Persoonia arborea,Tree Geebung,145.70423333,-37.88630000,1/6/17,active,347-520-0008,Jumping Jack Flash
Persoonia arborea,Tree Geebung,145.70726667,-37.88583333,1/6/17,active,347-520-0008,Jumping Jack Flash
Persoonia arborea,Tree Geebung,145.70301667,-37.88011667,1/6/17,active,347-520-0008,Jumping Jack Flash
Persoonia arborea,Tree Geebung,145.89598333,-37.82083333,9/6/17,active,344-553-0007,Lucky Lashos
Persoonia arborea,Tree Geebung,146.14908333,-37.81083333,20/10/17,active,461-505-0001,Dyers Winchline
Persoonia arborea,Tree Geebung,146.14878333,-37.81190000,20/10/17,active,461-505-0001,Dyers Winchline
Persoonia arborea,Tree Geebung,146.14855000,-37.81215000,20/10/17,active,461-505-0001,Dyers Winchline
Persoonia arborea,Tree Geebung,146.14876667,-37.81220000,20/10/17,active,461-505-0001,Dyers Winchline
Persoonia arborea,Tree Geebung,145.82578333,-37.91190000,1/8/17,active,349-509-0004,little John
Persoonia arborea,Tree Geebung,145.82585000,-37.91201667,1/8/17,active,349-509-0004,little John
Persoonia arborea,Tree Geebung,145.82206667,-37.91060000,1/8/17,active,349-509-0004,little John
Persoonia arborea,Tree Geebung,146.02631667,-37.78461667,26/11/17,active,462-503-0008,Bunty
Persoonia arborea,Tree Geebung,146.02545000,-37.78386667,26/11/17,active,462-503-0008,Bunty
Persoonia arborea,Tree Geebung,146.02538333,-37.78385000,26/11/17,active,462-503-0008,Bunty
Persoonia arborea,Tree Geebung,146.02530000,-37.78366667,26/11/17,active,462-503-0008,Bunty
Persoonia arborea,Tree Geebung,145.71941667,-37.78866667,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72031667,-37.78873333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72023333,-37.78866667,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72020000,-37.78863333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72068333,-37.78873333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72068333,-37.78873333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72078333,-37.78865000,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72085000,-37.78860000,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72180000,-37.78848333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72261667,-37.78796667,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72251667,-37.78803333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72271667,-37.78755000,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72406667,-37.78960000,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72391667,-37.78875000,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72363333,-37.78810000,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.72370000,-37.78813333,24/9/17,active,345-526-0003,Louisiana
Persoonia arborea,Tree Geebung,145.89930000,-37.85668333,9/6/17,active,348-517-0008,Weissmuller
Persoonia arborea,Tree Geebung,145.62263333,-37.54976667,18/8/17,active,307-505-0011,Guitar Solo
Persoonia arborea,Tree Geebung,145.93825000,-37.76028333,15/10/17,active,344-520-0001,Razors Edge
Persoonia arborea,Tree Geebung,145.93830000,-37.76038333,15/10/17,active,344-520-0001,Razors Edge
Persoonia arborea,Tree Geebung,145.93833333,-37.76040000,15/10/17,active,344-520-0001,Razors Edge
Persoonia arborea,Tree Geebung,145.87586667,-37.91391667,11/8/17,active,464-507-0003,Release the Cracken
Persoonia arborea,Tree Geebung,145.54608333,-37.45460000,9/11/17,active,298-519-0005,Saddle Up
Persoonia arborea,Tree Geebung,145.54726667,-37.45495000,9/11/17,active,298-519-0005,Saddle Up
Persoonia arborea,Tree Geebung,145.84933333,-37.90138333,18/10/17,active,349-519-0004,Shack is back
Persoonia arborea,Tree Geebung,145.79905000,-37.80306667,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80501667,-37.80163333,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80006667,-37.80258333,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80048333,-37.80288333,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80160000,-37.80201667,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80321667,-37.80048333,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80345000,-37.80011667,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80403333,-37.80086667,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80501667,-37.80163333,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.80263333,-37.80400000,23/8/17,active,345-504-0003,Smyth Creek
Persoonia arborea,Tree Geebung,145.61656667,-37.55570000,22/10/17,active,307-505-0010,San Diego
Persoonia arborea,Tree Geebung,145.61700000,-37.55545000,22/10/17,active,307-505-0010,San Diego
Persoonia arborea,Tree Geebung,145.61760000,-37.55513333,22/10/17,active,307-505-0010,San Diego
Persoonia arborea,Tree Geebung,145.61926667,-37.55431667,22/10/17,active,307-505-0010,San Diego
Persoonia arborea,Tree Geebung,145.61838333,-37.55525000,22/10/17,active,307-505-0010,San Diego
Persoonia arborea,Tree Geebung,145.53051667,-37.49701667,16/6/17,active,298-509-0001,South Col
Persoonia arborea,Tree Geebung,145.53148333,-37.49675000,16/6/17,active,298-509-0001,South Col
Persoonia arborea,Tree Geebung,145.51120000,-37.50660000,2/9/17,active,297-530-0002,Utopia
Persoonia arborea,Tree Geebung,145.51073333,-37.51003333,2/9/17,active,297-530-0002,Utopia
Persoonia arborea,Tree Geebung,145.50793333,-37.51161667,2/9/17,active,297-530-0002,Utopia
Persoonia arborea,Tree Geebung,145.50863333,-37.52273333,2/9/17,active,297-530-0002,Utopia
Persoonia arborea,Tree Geebung,145.51180000,-37.51501667,2/9/17,active,297-530-0002,Utopia
Persoonia arborea,Tree Geebung,145.75336667,-37.87783333,8/8/17,active,347-515-0012,Upper Learmonth
Persoonia arborea,Tree Geebung,145.75138333,-37.87660000,8/8/17,active,347-515-0012,Upper Learmonth
Persoonia arborea,Tree Geebung,145.53845000,-37.49395000,20/8/17,active,298-515-0001,Whopper
Persoonia arborea,Tree Geebung,145.53831667,-37.49516667,20/8/17,active,298-515-0001,Whopper
Persoonia arborea,Tree Geebung,145.84430000,-37.81948333,10/6/17,active,348-510-0005,Western Branch
Persoonia arborea,Tree Geebung,145.84436667,-37.81960000,10/6/17,active,348-510-0005,Western Branch
Persoonia arborea,Tree Geebung,145.84321667,-37.82045000,10/6/17,active,348-510-0005,Western Branch
Persoonia arborea,Tree Geebung,145.84315000,-37.82045000,10/6/17,active,348-510-0005,Western Branch
Persoonia arborea,Tree Geebung,145.84270000,-37.81983333,10/6/17,active,348-510-0005,Western Branch
